"","NodeId","lat","lng"
"1","325CF3",36.488292,-102.651024
"2","325D6E",36.49442,-102.649544
"3","325D80",36.491116,-102.64604
"4","325EAA",36.491096,-102.644592
"5","32624B",36.491632,-102.649576
"6","3263FF",36.486148,-102.652584
"7","327C23",36.487268,-102.651768
"8","328147",36.49322,-102.649552
"9","328497",36.493068,-102.656592
"10","328591",36.492476,-102.655
"11","3287DE",36.491032,-102.65104
"12","328A8E",36.492232,-102.649568
"13","328B4C",36.489424,-102.650208
"14","328C26",36.491956,-102.653552
"15","328C94",36.491532,-102.652376
"16","328D8E",36.491092,-102.643072
"17","328E58",36.491136,-102.6486
"18","32926A",36.495678,-102.64952
"19","329306",36.491128,-102.647368
"20","329934",36.485072,-102.653376
